City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Amahai,ID,78.44,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
503,Rajauri,IN,76.21,clear sky,33.3833,74.3,Hotel Ashoka
504,Corrente,BR,75.29,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
509,Sibolga,ID,87.06,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
513,Santiago De Cuba,CU,75.06,clear sky,20.0247,-75.8219,Cubanacan San Felix
515,Princeton,US,81.0,overcast clouds,25.5384,-80.4089,American Best Inn
520,Enterprise,US,85.23,clear sky,36.0252,-115.2419,Las Vegas Motorcoach Resort
525,Sao Jose Da Coroa Grande,BR,75.9,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
529,Vanimo,PG,80.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
530,Sokoni,TZ,75.06,light rain,-6.4333,39.55,Ujamaa Beach Resort
532,Labuhan,ID,83.79,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
536,Lakatoro,VU,78.73,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
540,Khanewal,PK,80.42,clear sky,30.3,71.9333,Hakeemabad
542,Nuevitas,CU,78.22,clear sky,21.5453,-77.2644,Hotel Caonaba
543,Tutoia,BR,79.29,broken clouds,-2.7619,-42.2744,Pousada Guará's
549,Shenjiamen,CN,79.45,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
550,Dingle,PH,88.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
552,Eyl,SO,77.05,light rain,7.9803,49.8164,Amiin Hotel
558,Luwuk,ID,82.24,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
564,Hit,IQ,77.95,clear sky,33.6416,42.8251,صالون زيرو
567,Tecoanapa,MX,80.74,broken clouds,16.5167,-98.75,Hotel Manglares
570,Kinablangan,PH,86.54,overcast clouds,7.6947,126.5503,Danny Moreno Property
573,Mayumba,GA,75.09,overcast clouds,-3.432,10.6554,LIKWALE LODGE
574,Muli,MV,83.84,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
576,Kathu,TH,87.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
578,Alugan,PH,85.21,broken clouds,12.2188,125.4808,JM Lodge
582,Majene,ID,85.66,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
585,Vetapalem,IN,87.44,overcast clouds,15.7833,80.3167,Lelavathi hotel
593,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
599,Waingapu,ID,85.96,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
600,Ramon Castilla,PE,75.45,light rain,-4.2569,-69.9594,Cabañas La Manigua
601,Omboue,GA,75.72,overcast clouds,-1.5746,9.2618,Hotel Olako
606,Seoul,KR,78.37,scattered clouds,37.5683,126.9778,Lotte Hotel Seoul
609,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
610,Palmas Bellas,PA,78.71,overcast clouds,9.2319,-80.0867,Estación de Chagres
616,Nichinan,JP,83.35,clear sky,31.6,131.3667,Guest House Aki
617,Guanica,PR,82.98,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
618,Kalmunai,LK,86.13,scattered clouds,7.4167,81.8167,VS Villa
625,Aracati,BR,77.59,broken clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
628,Mabaruma,GY,76.35,clear sky,8.2,-59.7833,Monty Brooms Guest House
630,Birnin Kebbi,NG,76.77,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
635,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
640,Isabela,PH,86.2,light rain,6.7085,121.9711,Isawad Resort
641,Nong Khai,TH,77.56,heavy intensity rain,17.9167,103.0833,จารุวรรณ วงชัยยา
645,Nam Som,TH,80.82,light rain,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
647,Alyangula,AU,80.91,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
651,Pontianak,ID,85.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
652,Kawalu,ID,85.66,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
653,Kaseda,JP,78.15,clear sky,31.4167,130.3167,Sun Stay Kaseda
655,Hami,CN,75.72,scattered clouds,42.8,93.45,Laoyutang Resort
657,Ugoofaaru,MV,82.78,broken clouds,5.6667,73.0,Ungoofaaru Inn
658,Faanui,PF,77.02,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
659,Riyadh,SA,82.85,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
660,Raiganj,IN,87.26,few clouds,25.6167,88.1167,Raiganj Tourist Lodge
662,Trinidad,BO,85.41,broken clouds,-14.8333,-64.9,Hotel Piesta
663,Zhicheng,CN,89.22,scattered clouds,30.2956,111.5047,Wangjiang Building
666,Nisia Floresta,BR,77.38,few clouds,-6.0911,-35.2086,Rancho Crepusculo
672,Kralendijk,BQ,83.44,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
675,Lao Cai,VN,85.82,scattered clouds,22.4833,103.95,Legend Hotel
676,Magadi,IN,75.36,broken clouds,12.9667,77.2333,SVB Caters
677,Shache,CN,76.89,clear sky,38.4167,77.2406,Delong Hotel
678,Clarence Town,AU,83.14,clear sky,-32.5833,151.7833,River Downs Cottage
691,Kovur,IN,89.56,overcast clouds,14.4833,79.9833,Hotel Yesh Park
692,Abu Zabad,SD,75.22,scattered clouds,12.35,29.25,حامد محمد نور
693,San Francisco,US,79.14,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
696,Praya,CV,78.13,overcast clouds,14.9215,-23.5087,LT Aparthotel
701,Idenao,CM,76.06,overcast clouds,4.2475,9.0047,Moland Beach Resort
704,Encheng,CN,86.02,overcast clouds,22.1839,112.3026,Pinghu Hostel
711,Port-Gentil,GA,76.98,overcast clouds,-0.7193,8.7815,Fengshui Residence
713,Umm Lajj,SA,82.51,clear sky,25.0213,37.2685,Moon light Furnished Units
714,Samana,DO,76.93,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
715,Kroya,ID,85.05,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
