City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Conceicao Do Araguaia,BR,2021-09-23 19:42:40,-8.2578,-49.2647,103.87,16,14,5.37
98,Port Alfred,ZA,2021-09-23 19:42:40,-33.5906,26.891,63.37,72,96,19.06
99,Saint Anthony,US,2021-09-23 19:42:41,45.0205,-93.218,75.15,37,1,1.01
100,Zenica,BA,2021-09-23 19:42:41,44.2014,17.9064,52.21,72,6,3.33
101,Mount Isa,AU,2021-09-23 19:42:41,-20.7333,139.5,62.38,16,11,10.29
102,Deputatskiy,RU,2021-09-23 19:42:42,69.3,139.9,30.96,89,100,5.64
103,Matagami,CA,2021-09-23 19:42:42,49.7502,-77.6328,51.91,66,90,6.91
104,Avarua,CK,2021-09-23 19:42:43,-21.2078,-159.775,73.45,64,75,4.61
105,Kaitangata,NZ,2021-09-23 19:42:43,-46.2817,169.8464,45.9,66,22,13.62
106,Svetlogorsk,BY,2021-09-23 19:42:43,52.6333,29.7333,41.52,97,100,9.73
107,Lavrentiya,RU,2021-09-23 19:42:44,65.5833,-171.0,32.09,69,87,2.3
108,Portland,US,2021-09-23 19:40:18,45.5234,-122.6762,73.51,70,40,3.0
109,Ocho Rios,JM,2021-09-23 19:42:44,18.4025,-77.1048,85.75,76,68,5.23
110,Isabela,PH,2021-09-23 19:42:44,6.7085,121.9711,79.23,85,61,3.11
111,Souillac,MU,2021-09-23 19:42:45,-20.5167,57.5167,73.78,78,75,12.66
112,Esso,RU,2021-09-23 19:42:45,55.9333,158.7,37.42,89,7,2.3
113,Hvide Sande,DK,2021-09-23 19:42:45,56.0045,8.1294,57.09,83,100,37.42
114,Varkaus,FI,2021-09-23 19:42:46,62.3153,27.873,44.71,82,100,15.21
115,Nikolskoye,RU,2021-09-23 19:42:46,59.7035,30.7861,47.01,92,98,9.22
116,Barrow,US,2021-09-23 19:42:46,71.2906,-156.7887,26.62,86,90,4.61
117,Kalmunai,LK,2021-09-23 19:42:47,7.4167,81.8167,81.18,81,83,5.99
118,Hay River,CA,2021-09-23 19:42:47,60.8156,-115.7999,44.58,87,90,11.5
119,Amargosa,BR,2021-09-23 19:42:47,-13.0303,-39.6047,70.57,78,98,9.4
120,Apatity,RU,2021-09-23 19:42:47,67.5641,33.4031,42.57,92,100,11.65
121,Bengkulu,ID,2021-09-23 19:42:48,-3.8004,102.2655,74.77,90,100,4.34
122,Sangar,RU,2021-09-23 19:42:48,63.9242,127.4739,40.44,85,100,0.78
123,Lorengau,PG,2021-09-23 19:42:48,-2.0226,147.2712,79.09,83,100,9.04
124,Trapani,IT,2021-09-23 19:42:49,37.8333,12.6667,73.58,73,0,6.91
125,Sri Aman,MY,2021-09-23 19:42:49,1.2376,111.4621,75.25,94,100,3.44
126,Yaan,NG,2021-09-23 19:42:49,7.3833,8.5667,75.69,89,90,3.89
127,Novobiryusinskiy,RU,2021-09-23 19:42:50,56.9578,97.7076,32.72,95,95,2.21
128,Casselman,CA,2021-09-23 19:42:50,45.3168,-75.0826,71.64,78,100,14.16
129,Dikson,RU,2021-09-23 19:42:50,73.5069,80.5464,34.32,66,61,6.51
130,Miles City,US,2021-09-23 19:42:51,46.4083,-105.8406,78.51,23,1,17.27
131,Manzanillo,CU,2021-09-23 19:42:51,20.3433,-77.1167,89.74,54,10,10.07
132,Klaksvik,FO,2021-09-23 19:42:51,62.2266,-6.589,41.92,91,100,30.74
133,College,US,2021-09-23 19:39:15,64.8569,-147.8028,36.28,61,90,6.91
134,Kodiak,US,2021-09-23 19:42:52,57.79,-152.4072,44.11,76,90,29.93
135,Tamiahua,MX,2021-09-23 19:42:52,21.2667,-97.45,79.0,66,68,12.48
136,Cherskiy,RU,2021-09-23 19:42:52,68.75,161.3,28.9,94,83,6.46
137,San Carlos De Bariloche,AR,2021-09-23 19:40:36,-41.1456,-71.3082,62.35,19,40,14.97
138,Mana,GF,2021-09-23 19:42:53,5.6592,-53.7767,84.72,72,77,11.56
139,Dandong,CN,2021-09-23 19:42:53,40.1292,124.3947,53.78,92,12,4.05
140,Wonthaggi,AU,2021-09-23 19:42:54,-38.6044,145.5913,56.37,70,0,19.71
141,Hasaki,JP,2021-09-23 19:42:54,35.7333,140.8333,68.4,72,66,15.17
142,Caaguazu,PY,2021-09-23 19:42:54,-25.45,-56.0167,79.56,43,93,11.95
143,Poopo,BO,2021-09-23 19:42:55,-18.3667,-66.9667,57.97,37,82,11.95
144,Asau,RO,2021-09-23 19:42:55,46.4333,26.4,46.96,77,100,6.24
145,Ouadda,CF,2021-09-23 19:42:55,8.0777,22.4007,69.8,95,67,3.85
146,Touros,BR,2021-09-23 19:42:56,-5.1989,-35.4608,85.1,71,64,15.48
147,Ocampo,MX,2021-09-23 19:42:56,21.65,-101.5,68.2,50,42,8.55
148,Mackay,AU,2021-09-23 19:42:56,-21.15,149.2,60.78,94,90,6.91
149,Comodoro Rivadavia,AR,2021-09-23 19:42:56,-45.8667,-67.5,69.66,28,75,17.27
150,Puerto Del Rosario,ES,2021-09-23 19:42:57,28.5004,-13.8627,74.95,73,20,10.36
151,Samarai,PG,2021-09-23 19:42:57,-10.6167,150.6667,77.43,86,88,14.56
152,Sitka,US,2021-09-23 19:42:58,57.0531,-135.33,55.29,71,90,16.11
153,Beira,MZ,2021-09-23 19:42:58,-19.8436,34.8389,70.57,72,0,8.03
154,Vallenar,CL,2021-09-23 19:42:58,-28.5708,-70.7581,83.5,15,0,7.27
155,Homnabad,IN,2021-09-23 19:42:58,17.7667,77.1333,71.06,97,100,1.68
156,Sisimiut,GL,2021-09-23 19:42:59,66.9395,-53.6735,29.7,78,99,1.86
157,Moose Factory,CA,2021-09-23 19:42:59,51.2585,-80.6094,53.6,66,1,14.97
158,Pochutla,MX,2021-09-23 19:42:59,15.7432,-96.4661,89.82,58,100,5.99
159,Antofagasta,CL,2021-09-23 19:43:00,-23.65,-70.4,60.08,69,18,9.17
160,Lewiston,US,2021-09-23 19:43:00,44.1003,-70.2148,78.82,79,20,14.97
161,Sidi Ali,DZ,2021-09-23 19:43:00,36.0998,0.4206,75.11,72,95,4.47
162,Itoman,JP,2021-09-23 19:43:01,26.1247,127.6694,80.62,78,20,9.22
163,Umea,SE,2021-09-23 19:43:01,63.8284,20.2597,46.33,93,90,13.8
164,Tuatapere,NZ,2021-09-23 19:43:01,-46.1333,167.6833,45.82,79,81,7.78
165,Karratha,AU,2021-09-23 19:43:02,-20.7377,116.8463,71.73,48,19,7.11
166,Dhidhdhoo,MV,2021-09-23 19:43:02,6.8833,73.1,82.9,77,13,18.07
167,Pevek,RU,2021-09-23 19:43:02,69.7008,170.3133,28.85,91,99,8.7
168,Mazamari,PE,2021-09-23 19:43:03,-11.3258,-74.5308,91.76,35,67,3.11
169,Cap Malheureux,MU,2021-09-23 19:43:03,-19.9842,57.6142,73.89,76,46,8.01
170,Lagunas,PE,2021-09-23 19:43:04,-5.2269,-75.6753,87.78,55,100,3.85
171,Koungou,YT,2021-09-23 19:43:04,-12.7336,45.2042,73.11,83,0,2.3
172,Changde,CN,2021-09-23 19:43:04,29.0464,111.6783,76.91,76,29,1.74
173,Aswan,EG,2021-09-23 19:43:05,24.0934,32.907,90.7,14,0,8.05
174,Anloga,GH,2021-09-23 19:43:05,5.7947,0.8973,80.82,84,37,7.54
175,Hit,IQ,2021-09-23 19:43:05,33.6416,42.8251,84.85,23,0,7.67
176,East London,ZA,2021-09-23 19:43:06,-33.0153,27.9116,68.65,55,98,25.61
177,Satipo,PE,2021-09-23 19:43:06,-11.2522,-74.6386,91.74,33,70,3.44
178,Arlit,NE,2021-09-23 19:43:06,18.7369,7.3853,95.9,17,8,4.9
179,Saint-Georges,GD,2021-09-23 19:43:07,12.0564,-61.7485,87.48,70,20,16.11
180,Imeni Poliny Osipenko,RU,2021-09-23 19:43:07,52.4201,136.4853,37.74,84,0,0.51
181,Cockburn Town,TC,2021-09-23 19:38:44,21.4612,-71.1419,83.52,75,98,7.96
182,San Cristobal,VE,2021-09-23 19:43:07,7.7669,-72.225,82.58,72,100,6.55
183,Along,IN,2021-09-23 19:43:08,28.1667,94.7667,72.5,96,95,1.57
184,Dingle,PH,2021-09-23 19:43:08,10.9995,122.6711,76.06,92,92,5.37
185,Clyde River,CA,2021-09-23 19:41:16,70.4692,-68.5914,32.23,80,75,21.85
186,Rodino,RU,2021-09-23 19:43:08,52.5,80.25,33.96,94,15,5.93
187,Los Llanos De Aridane,ES,2021-09-23 19:43:09,28.6585,-17.9182,71.35,85,20,12.66
188,Ust-Kut,RU,2021-09-23 19:43:09,56.7938,105.7672,33.93,82,55,3.47
189,Kintampo,GH,2021-09-23 19:43:09,8.0563,-1.7306,74.71,87,32,1.52
190,Chinameca,SV,2021-09-23 19:43:10,13.5,-88.35,82.49,56,100,2.33
191,Teahupoo,PF,2021-09-23 19:43:10,-17.8333,-149.2667,73.36,75,0,14.61
192,Kavieng,PG,2021-09-23 19:43:11,-2.5744,150.7967,81.28,76,100,10.36
193,Sibolga,ID,2021-09-23 19:43:11,1.7427,98.7792,76.69,83,92,3.24
194,Isla Mujeres,MX,2021-09-23 19:43:11,21.2311,-86.731,86.05,71,100,7.72
195,Puerto Ayora,EC,2021-09-23 19:43:11,-0.7393,-90.3518,76.96,84,80,10.56
196,Saskylakh,RU,2021-09-23 19:43:12,71.9167,114.0833,33.62,98,100,11.39
197,Pouebo,NC,2021-09-23 19:43:12,-20.4,164.5667,67.06,65,41,9.01
198,Sao Joao Da Barra,BR,2021-09-23 19:41:25,-21.6403,-41.0511,71.69,62,83,12.66
199,Xam Nua,LA,2021-09-23 19:43:13,20.4197,104.0439,65.53,100,82,1.28
200,Lamar,US,2021-09-23 19:43:13,33.6668,-95.5836,84.97,24,1,0.0
201,Raudeberg,NO,2021-09-23 19:43:13,61.9875,5.1352,47.8,87,97,1.99
202,Namibe,AO,2021-09-23 19:43:14,-15.1961,12.1522,66.72,90,34,7.43
203,Praia Da Vitoria,PT,2021-09-23 19:43:14,38.7333,-27.0667,72.75,78,20,9.31
204,Sinnamary,GF,2021-09-23 19:43:14,5.3833,-52.95,84.29,68,30,12.46
205,Chokurdakh,RU,2021-09-23 19:43:15,70.6333,147.9167,28.65,89,100,3.91
206,Yenagoa,NG,2021-09-23 19:43:15,4.9247,6.2642,75.29,93,98,2.35
207,Nizhniy Tsasuchey,RU,2021-09-23 19:43:15,50.5167,115.1333,40.23,83,22,4.25
208,Ilulissat,GL,2021-09-23 19:43:16,69.2167,-51.1,24.82,68,75,19.57
209,Kieta,PG,2021-09-23 19:43:16,-6.2167,155.6333,77.29,82,100,3.67
210,Henties Bay,NA,2021-09-23 19:43:16,-22.116,14.2845,56.86,81,0,6.85
211,Krasnoselkup,RU,2021-09-23 19:43:17,65.7,82.4667,33.67,89,100,13.85
212,Salinas,US,2021-09-23 19:43:17,36.6777,-121.6555,90.57,64,1,6.91
213,Enterprise,US,2021-09-23 19:43:17,36.0252,-115.2419,94.59,18,75,3.0
214,Oxelosund,SE,2021-09-23 19:43:18,58.6706,17.1015,51.73,100,0,8.05
215,Alofi,NU,2021-09-23 19:43:18,-19.0595,-169.9187,75.09,73,28,9.22
216,Pacific Grove,US,2021-09-23 19:43:18,36.6177,-121.9166,90.16,82,1,5.01
217,Paamiut,GL,2021-09-23 19:43:19,61.994,-49.6678,34.12,72,16,19.24
218,Ribeira Grande,PT,2021-09-23 19:43:19,38.5167,-28.7,72.0,68,20,13.8
219,Kidal,ML,2021-09-23 19:43:19,18.4411,1.4078,95.2,23,80,12.28
220,Khatanga,RU,2021-09-23 19:43:20,71.9667,102.5,33.4,98,100,6.82
221,Ancud,CL,2021-09-23 19:43:20,-41.8697,-73.8203,56.43,80,94,11.86
222,Inongo,CD,2021-09-23 19:43:20,-1.95,18.2667,70.05,84,100,3.74
223,Bud,US,2021-09-23 19:43:21,39.447,-86.1758,67.82,51,16,15.41
224,Praia,CV,2021-09-23 19:43:21,14.9215,-23.5087,81.14,69,75,13.8
225,Acapulco,MX,2021-09-23 19:42:28,16.8634,-99.8901,87.62,66,40,9.22
226,Rosa Zarate,EC,2021-09-23 19:43:21,0.3333,-79.4667,82.13,72,93,4.72
227,Bambous Virieux,MU,2021-09-23 19:43:22,-20.3428,57.7575,73.65,78,75,12.66
228,Nioro,GM,2021-09-23 19:43:22,13.35,-15.75,80.4,83,97,5.73
229,Saint George,US,2021-09-23 19:43:22,37.1041,-113.5841,90.07,15,1,4.61
230,Torit,SS,2021-09-23 19:43:23,4.4133,32.5678,75.52,66,80,2.8
231,Airai,TL,2021-09-23 19:43:23,-8.9266,125.4092,57.31,54,100,1.97
232,Tazovskiy,RU,2021-09-23 19:43:23,67.4667,78.7,33.66,81,90,10.51
233,Manthani,IN,2021-09-23 19:43:24,18.65,79.6667,76.68,93,100,2.24
234,Fortuna,US,2021-09-23 19:43:24,40.5982,-124.1573,77.94,62,97,1.99
235,Saint Pete Beach,US,2021-09-23 19:43:25,27.7253,-82.7412,90.34,64,90,1.01
236,Nalut,LY,2021-09-23 19:43:25,30.3333,10.85,85.93,14,50,5.79
