City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Georgetown,MY,5.4112,100.3354,89.53,70,20,0.0,few clouds
210,Takoradi,GH,4.8845,-1.7554,75.4,93,96,6.64,light rain
211,Chandbali,IN,20.7833,86.7667,87.53,67,84,6.13,broken clouds
212,Kimberley,ZA,-28.7323,24.7623,62.29,39,0,13.8,clear sky
213,Mana,GF,5.6592,-53.7767,79.11,87,17,10.38,few clouds
214,Pestravka,RU,52.405,49.9583,57.4,44,100,17.09,light rain
215,Ramjibanpur,IN,22.8333,87.6167,85.77,73,33,4.21,scattered clouds
216,Isiro,CD,2.7739,27.616,64.13,100,100,2.04,light rain
217,Nouakchott,MR,18.0858,-15.9785,75.13,74,45,14.29,scattered clouds
218,Jilin,CN,43.0,126.0,67.03,64,8,4.47,clear sky
219,Bonham,US,33.5773,-96.1783,70.63,48,1,5.75,clear sky
220,Serenje,ZM,-13.2325,30.2352,56.43,80,4,5.14,clear sky
221,Kyshtovka,RU,56.555,76.6271,38.77,94,100,10.31,overcast clouds
222,Chernyshevskiy,RU,63.0128,112.4714,44.55,67,100,4.85,overcast clouds
223,Watsonville,US,36.9102,-121.7569,73.74,86,98,0.69,overcast clouds
224,Klaksvik,FO,62.2266,-6.589,52.72,85,100,31.23,overcast clouds
225,Vila Velha,BR,-20.3297,-40.2925,64.35,82,75,2.3,broken clouds
226,Linkoping,SE,58.4109,15.6216,49.39,68,10,20.71,clear sky
227,Salalah,OM,17.0151,54.0924,81.32,79,66,3.78,broken clouds
228,Erzin,TR,36.9559,36.2,63.12,64,46,5.84,scattered clouds
229,Antalaha,MG,-14.9003,50.2788,71.53,68,0,8.61,clear sky
230,Dwarka,IN,22.2394,68.9678,81.7,79,21,7.78,few clouds
231,San Cristobal,VE,7.7669,-72.225,73.58,98,100,2.89,overcast clouds
232,Nikolskoye,RU,59.7035,30.7861,45.01,84,100,11.32,overcast clouds
233,Buenaventura,CO,3.8801,-77.0312,73.13,96,92,0.78,overcast clouds
234,Ulaangom,MN,49.9811,92.0667,50.95,37,51,8.03,broken clouds
235,Kefamenanu,ID,-9.4467,124.4781,90.93,27,99,8.32,overcast clouds
236,Fort Nelson,CA,58.8053,-122.7002,51.39,37,75,6.91,broken clouds
237,Meulaboh,ID,4.1363,96.1285,85.46,65,34,2.95,scattered clouds
238,Krasnorechenskiy,RU,44.6265,135.3532,63.66,43,20,5.64,few clouds
239,Aklavik,CA,68.2191,-135.0107,32.83,84,100,1.83,overcast clouds
240,Port Hardy,CA,50.6996,-127.4199,53.78,87,75,2.3,broken clouds
241,Ostrovnoy,RU,68.0531,39.5131,42.48,86,26,13.67,scattered clouds
242,Grafton,US,42.207,-71.6856,72.16,83,48,1.99,scattered clouds
243,Udachnyy,RU,66.4167,112.4,42.17,68,100,5.5,overcast clouds
244,Clyde River,CA,70.4692,-68.5914,27.5,73,79,7.47,broken clouds
245,Kurilsk,RU,45.2333,147.8833,53.94,74,43,14.16,scattered clouds
246,Andra,RU,62.5147,65.8878,40.95,73,16,1.36,few clouds
247,Faya,SA,18.3851,42.4509,60.91,36,49,1.77,scattered clouds
248,Oriximina,BR,-1.7656,-55.8661,80.19,63,100,2.84,overcast clouds
249,Kieta,PG,-6.2167,155.6333,83.62,72,100,5.93,light rain
250,Ailigandi,PA,9.2333,-78.0167,77.38,87,95,5.12,overcast clouds
251,Kyabe,TD,9.4515,18.9449,70.39,94,89,4.61,light rain
252,Iqaluit,CA,63.7506,-68.5145,31.73,86,90,11.5,light snow
253,Bethlehem,BR,-1.4558,-48.5044,77.04,88,0,5.75,clear sky
254,Zverevo,RU,48.0211,40.1228,49.93,89,96,3.83,overcast clouds
255,Broome,US,42.2506,-75.833,57.97,81,59,1.01,broken clouds
256,General Cepeda,MX,25.3833,-101.45,66.2,56,38,4.72,scattered clouds
257,Henties Bay,NA,-22.116,14.2845,54.86,87,0,8.32,clear sky
258,Ratnagiri,IN,16.9833,73.3,80.74,81,92,5.44,overcast clouds
259,Rio Grande,BR,-32.035,-52.0986,52.95,93,31,5.48,scattered clouds
260,Marawi,PH,7.9986,124.2928,77.65,63,80,6.58,broken clouds
261,Belmonte,BR,-15.8631,-38.8828,66.7,77,91,10.89,overcast clouds
262,Byron Bay,AU,-28.65,153.6167,84.31,43,0,15.35,clear sky
263,Bonavista,CA,48.6499,-53.1147,53.11,88,99,17.25,overcast clouds
264,Jining,CN,35.405,116.5814,79.9,67,99,13.4,overcast clouds
265,Abeche,TD,13.8292,20.8324,77.83,52,29,3.47,scattered clouds
266,Provideniya,RU,64.3833,-173.3,32.11,86,90,8.95,snow
267,Suzun,RU,53.7841,82.3116,39.33,71,81,6.08,broken clouds
268,Beyneu,KZ,45.3167,55.2,65.23,34,6,29.89,clear sky
269,Sturgeon Bay,US,44.8342,-87.377,54.0,71,84,10.49,broken clouds
270,Katobu,ID,-4.9408,122.5276,87.3,53,72,4.45,broken clouds
271,Bhadasar,IN,28.2833,74.3167,84.54,65,33,5.08,scattered clouds
272,Grand Gaube,MU,-20.0064,57.6608,73.38,75,13,11.01,few clouds
273,Avarua,CK,-21.2078,-159.775,75.25,60,90,4.61,light rain
274,Port Macquarie,AU,-31.4333,152.9167,75.16,45,1,8.21,clear sky
275,Soma,TR,39.1855,27.6094,48.67,86,1,4.85,clear sky
276,Abu Samrah,SY,35.3029,37.1841,66.22,72,5,17.94,clear sky
277,Ishigaki,JP,24.3448,124.1572,87.93,79,20,14.97,few clouds
278,Hovd,MN,48.0056,91.6419,51.17,29,98,0.76,overcast clouds
279,Saldanha,ZA,-33.0117,17.9442,51.85,93,58,1.28,broken clouds
280,Banda Aceh,ID,5.5577,95.3222,86.83,60,50,5.57,scattered clouds
281,Amapa,BR,1.0,-52.0,70.54,94,77,2.84,broken clouds
282,Lorengau,PG,-2.0226,147.2712,85.23,67,72,10.63,broken clouds
283,Namatanai,PG,-3.6667,152.4333,84.09,68,94,7.72,overcast clouds
284,Geraldton,AU,-28.7667,114.6,79.21,34,0,13.8,clear sky
285,Shurugwi,ZW,-19.6702,30.0059,50.85,59,0,3.49,clear sky
286,Aykhal,RU,66.0,111.5,38.52,85,100,5.77,overcast clouds
287,Tambovka,RU,50.0969,128.0489,66.31,60,99,8.43,overcast clouds
288,Vilela,PT,41.2251,-7.6034,59.09,92,95,4.27,light rain
289,Okha,RU,53.5739,142.9478,54.54,62,28,10.87,scattered clouds
290,Arandis,NA,-22.4167,14.9667,48.47,26,1,0.38,clear sky
291,Benjamin Constant,BR,-4.3831,-70.0311,75.33,93,100,1.5,light rain
292,Krasnyy Chikoy,RU,50.3643,108.7512,56.48,47,66,2.64,broken clouds
293,Ilebo,CD,-4.3167,20.5833,69.89,96,100,1.03,overcast clouds
294,Kifri,IQ,34.6959,44.9661,82.18,24,0,6.35,clear sky
295,Fortuna,US,40.5982,-124.1573,69.19,91,20,0.0,few clouds
296,Coihaique,CL,-45.5752,-72.0662,49.95,76,90,6.91,overcast clouds
297,Airai,TL,-8.9266,125.4092,79.11,33,89,2.71,overcast clouds
298,Pacific Grove,US,36.6177,-121.9166,69.57,90,95,1.01,overcast clouds
299,Mogadishu,SO,2.0371,45.3438,76.87,88,40,13.8,scattered clouds
300,Kamenka,RU,51.3223,42.7678,46.15,72,100,4.23,overcast clouds
301,Junction City,US,39.0286,-96.8314,69.85,50,2,3.0,clear sky
302,Barrow,US,71.2906,-156.7887,25.79,79,100,5.14,overcast clouds
303,Jalu,LY,29.0331,21.5482,72.68,63,13,9.82,few clouds
304,Olinda,BR,-8.0089,-34.8553,74.93,83,40,5.75,scattered clouds
305,Narsaq,GL,60.9167,-46.05,31.19,56,3,4.99,clear sky
306,Komsomolskiy,UZ,40.4272,71.7189,72.32,30,0,2.3,clear sky
307,Pali,IN,25.7667,73.3333,85.26,67,94,4.92,overcast clouds
308,Gamba,GA,-2.65,10.0,75.27,85,100,3.44,overcast clouds
309,Najran,SA,17.4924,44.1277,68.65,18,58,3.8,broken clouds
310,Mukhen,RU,48.1,136.1,60.71,45,0,4.47,clear sky
311,Half Moon Bay,US,37.4636,-122.4286,77.41,83,90,0.0,fog
312,Hambantota,LK,6.1241,81.1185,84.54,84,20,5.75,few clouds
313,Dobson,US,36.3957,-80.7226,54.72,93,1,0.0,clear sky
314,Juruti,BR,-2.1522,-56.0922,78.03,70,100,1.48,overcast clouds
315,Merauke,ID,-8.4667,140.3333,81.81,74,83,16.13,broken clouds
316,Virtsu,EE,58.5716,23.5115,48.22,99,100,12.19,overcast clouds
317,Shirokiy,RU,49.758,129.523,61.97,54,95,5.37,overcast clouds
318,Warwick,US,41.7001,-71.4162,74.12,89,5,1.01,clear sky
319,Juneau,US,58.3019,-134.4197,48.11,100,100,6.15,light rain
320,Hofn,IS,64.2539,-15.2082,42.15,78,100,16.89,overcast clouds
321,Tadine,NC,-21.55,167.8833,71.65,57,25,15.14,scattered clouds
322,Gambela,ET,8.25,34.5833,72.64,79,100,5.21,overcast clouds
323,Hay River,CA,60.8156,-115.7999,44.58,87,40,3.44,scattered clouds
324,Sungaipenuh,ID,-2.0833,101.3833,77.83,70,70,0.92,light rain
325,Churapcha,RU,62.0025,132.4325,53.31,39,100,6.42,overcast clouds
326,Chibuto,MZ,-24.6867,33.5306,58.32,79,2,4.85,clear sky
327,San Miguel,SV,13.4833,-88.1833,72.93,98,100,2.19,moderate rain
328,Yerofey Pavlovich,RU,53.9667,121.9667,51.22,74,98,0.81,overcast clouds
329,Bosaso,SO,11.2842,49.1816,90.88,50,55,5.32,broken clouds
330,Sola,VU,-13.8833,167.55,83.07,79,75,5.75,broken clouds
331,Pochutla,MX,15.7432,-96.4661,76.82,85,84,3.29,broken clouds
332,Hasaki,JP,35.7333,140.8333,84.6,61,13,10.11,few clouds
333,Khilok,RU,51.3674,110.4676,54.39,48,30,5.93,scattered clouds
334,Pisco,PE,-13.7,-76.2167,60.85,77,22,2.3,few clouds
335,Kahului,US,20.8947,-156.47,77.97,82,100,13.82,overcast clouds
336,Namibe,AO,-15.1961,12.1522,64.83,96,52,1.81,broken clouds
337,Anadyr,RU,64.75,177.4833,30.7,93,75,13.42,light snow
338,North Bend,US,43.4065,-124.2243,60.93,90,52,8.55,broken clouds
339,Mildura,AU,-34.2,142.15,76.06,22,0,14.97,clear sky
340,Yucca Valley,US,34.1142,-116.4322,81.12,49,33,1.01,scattered clouds
341,Kiomboi,TZ,-4.2667,34.3667,61.09,66,42,3.96,scattered clouds
342,Fukue,JP,32.6881,128.8419,77.36,61,0,11.5,clear sky
343,Morro Bay,US,35.3658,-120.8499,70.57,83,100,1.01,overcast clouds
344,Wanning,CN,18.8003,110.3967,78.78,92,100,10.38,moderate rain
345,Kununurra,AU,-15.7667,128.7333,89.58,6,15,5.75,few clouds
346,Portland,US,45.5234,-122.6762,66.83,75,69,3.0,broken clouds
